月份,行业,新增数量
201101,电力、热力、燃气及水生产和供应业,58
201012,电力、热力、燃气及水生产和供应业,51
201011,电力、热力、燃气及水生产和供应业,43
201010,电力、热力、燃气及水生产和供应业,32
201009,电力、热力、燃气及水生产和供应业,67
201008,电力、热力、燃气及水生产和供应业,73
201007,电力、热力、燃气及水生产和供应业,96
201006,电力、热力、燃气及水生产和供应业,110
201005,电力、热力、燃气及水生产和供应业,76
201004,电力、热力、燃气及水生产和供应业,61
201003,电力、热力、燃气及水生产和供应业,36
201002,电力、热力、燃气及水生产和供应业,19
201001,电力、热力、燃气及水生产和供应业,47
201709,房地产业,795
201708,房地产业,2223
201707,房地产业,2031
201706,房地产业,2244
201705,房地产业,2347
201704,房地产业,2175
201703,房地产业,2400
201702,房地产业,995
201701,房地产业,1309
201612,房地产业,1805
201611,房地产业,1809
201610,房地产业,1738
201609,房地产业,2184
201608,房地产业,2139
201607,房地产业,1846
201606,房地产业,1880
201605,房地产业,1929
201604,房地产业,1788
201603,房地产业,1790
201602,房地产业,666
201601,房地产业,1199
201512,房地产业,1322
201511,房地产业,1215
201510,房地产业,971
201509,房地产业,1087
201508,房地产业,1082
201507,房地产业,1153
201506,房地产业,990
201505,房地产业,995
201504,房地产业,1012
201503,房地产业,744
201502,房地产业,515
201501,房地产业,864
201412,房地产业,1004
201411,房地产业,863
201410,房地产业,734
201409,房地产业,895
201408,房地产业,895
201407,房地产业,985
201406,房地产业,1037
201405,房地产业,1044
201404,房地产业,1157
201403,房地产业,1109
201402,房地产业,569
201401,房地产业,1006
201312,房地产业,1023
201311,房地产业,1109
201310,房地产业,948
201309,房地产业,1045
201308,房地产业,1061
201307,房地产业,1048
201306,房地产业,886
201305,房地产业,987
201304,房地产业,932
201303,房地产业,942
201302,房地产业,302
201301,房地产业,766
201212,房地产业,594
201211,房地产业,679
201210,房地产业,507
201209,房地产业,629
201208,房地产业,552
201207,房地产业,587
201206,房地产业,508
201205,房地产业,584
201204,房地产业,567
201203,房地产业,649
201202,房地产业,390
201201,房地产业,274
201112,房地产业,536
201111,房地产业,623
201110,房地产业,543
201109,房地产业,623
201108,房地产业,834
201107,房地产业,803
201106,房地产业,954
201105,房地产业,944
201104,房地产业,990
201103,房地产业,1101
201102,房地产业,340
201101,房地产业,952
201012,房地产业,915
201011,房地产业,992
201010,房地产业,698
201009,房地产业,878
201008,房地产业,806
201007,房地产业,727
201006,房地产业,777
201005,房地产业,847
201004,房地产业,1059
201003,房地产业,849
201002,房地产业,464
201001,房地产业,863
201709,公共管理、社会保障和社会组织,
201708,公共管理、社会保障和社会组织,3
201707,公共管理、社会保障和社会组织,4
201706,公共管理、社会保障和社会组织,2
201705,公共管理、社会保障和社会组织,3
201704,公共管理、社会保障和社会组织,5
201703,公共管理、社会保障和社会组织,6
201702,公共管理、社会保障和社会组织,
201701,公共管理、社会保障和社会组织,3
201612,公共管理、社会保障和社会组织,5
201611,公共管理、社会保障和社会组织,
201610,公共管理、社会保障和社会组织,1
201609,公共管理、社会保障和社会组织,4
201608,公共管理、社会保障和社会组织,1
201607,公共管理、社会保障和社会组织,2
201606,公共管理、社会保障和社会组织,5
201605,公共管理、社会保障和社会组织,4
201604,公共管理、社会保障和社会组织,3
201603,公共管理、社会保障和社会组织,
201602,公共管理、社会保障和社会组织,1
201601,公共管理、社会保障和社会组织,2
201512,公共管理、社会保障和社会组织,2
201511,公共管理、社会保障和社会组织,3
201510,公共管理、社会保障和社会组织,2
201509,公共管理、社会保障和社会组织,3
201508,公共管理、社会保障和社会组织,4
201507,公共管理、社会保障和社会组织,
201506,公共管理、社会保障和社会组织,2
201505,公共管理、社会保障和社会组织,
201504,公共管理、社会保障和社会组织,
201503,公共管理、社会保障和社会组织,2
201502,公共管理、社会保障和社会组织,3
201501,公共管理、社会保障和社会组织,1
201412,公共管理、社会保障和社会组织,1
201411,公共管理、社会保障和社会组织,8
201410,公共管理、社会保障和社会组织,3
201409,公共管理、社会保障和社会组织,4
201408,公共管理、社会保障和社会组织,6
201407,公共管理、社会保障和社会组织,1
201406,公共管理、社会保障和社会组织,4
201405,公共管理、社会保障和社会组织,8
201404,公共管理、社会保障和社会组织,1
201403,公共管理、社会保障和社会组织,2
201402,公共管理、社会保障和社会组织,
201401,公共管理、社会保障和社会组织,6
201312,公共管理、社会保障和社会组织,4
201311,公共管理、社会保障和社会组织,1
201310,公共管理、社会保障和社会组织,5
201309,公共管理、社会保障和社会组织,3
201308,公共管理、社会保障和社会组织,
201307,公共管理、社会保障和社会组织,1
201306,公共管理、社会保障和社会组织,
201305,公共管理、社会保障和社会组织,2
201304,公共管理、社会保障和社会组织,
201303,公共管理、社会保障和社会组织,3
201302,公共管理、社会保障和社会组织,
201301,公共管理、社会保障和社会组织,1
201212,公共管理、社会保障和社会组织,3
201211,公共管理、社会保障和社会组织,2
201210,公共管理、社会保障和社会组织,1
201209,公共管理、社会保障和社会组织,2
201208,公共管理、社会保障和社会组织,
201207,公共管理、社会保障和社会组织,2
201206,公共管理、社会保障和社会组织,1
201205,公共管理、社会保障和社会组织,3
201204,公共管理、社会保障和社会组织,1
201203,公共管理、社会保障和社会组织,1
201202,公共管理、社会保障和社会组织,
201201,公共管理、社会保障和社会组织,
201112,公共管理、社会保障和社会组织,
201111,公共管理、社会保障和社会组织,
201110,公共管理、社会保障和社会组织,
201109,公共管理、社会保障和社会组织,2
201108,公共管理、社会保障和社会组织,1
201107,公共管理、社会保障和社会组织,
201106,公共管理、社会保障和社会组织,
201105,公共管理、社会保障和社会组织,
201104,公共管理、社会保障和社会组织,
201103,公共管理、社会保障和社会组织,
201102,公共管理、社会保障和社会组织,
