月份,行业,新增数量
201210,科学研究和技术服务业,998
201209,科学研究和技术服务业,1218
201208,科学研究和技术服务业,1423
201207,科学研究和技术服务业,1538
201206,科学研究和技术服务业,1494
201205,科学研究和技术服务业,1599
201204,科学研究和技术服务业,1432
201203,科学研究和技术服务业,1675
201202,科学研究和技术服务业,1317
201201,科学研究和技术服务业,914
201112,科学研究和技术服务业,1543
201111,科学研究和技术服务业,1673
201110,科学研究和技术服务业,1243
201109,科学研究和技术服务业,1410
201108,科学研究和技术服务业,1430
201107,科学研究和技术服务业,1313
201106,科学研究和技术服务业,1574
201105,科学研究和技术服务业,1599
201104,科学研究和技术服务业,1734
201103,科学研究和技术服务业,2066
201102,科学研究和技术服务业,611
201101,科学研究和技术服务业,1615
201012,科学研究和技术服务业,1721
201011,科学研究和技术服务业,1764
201010,科学研究和技术服务业,1280
201009,科学研究和技术服务业,1876
201008,科学研究和技术服务业,1859
201007,科学研究和技术服务业,1781
201006,科学研究和技术服务业,1769
201005,科学研究和技术服务业,1820
201004,科学研究和技术服务业,1984
201003,科学研究和技术服务业,1585
201002,科学研究和技术服务业,773
201001,科学研究和技术服务业,1489
201709,农、林、牧、渔业,388
201708,农、林、牧、渔业,936
201707,农、林、牧、渔业,1120
201706,农、林、牧、渔业,1141
201705,农、林、牧、渔业,1008
201704,农、林、牧、渔业,974
201703,农、林、牧、渔业,1292
201702,农、林、牧、渔业,501
201701,农、林、牧、渔业,883
201612,农、林、牧、渔业,1252
201611,农、林、牧、渔业,1175
201610,农、林、牧、渔业,741
201609,农、林、牧、渔业,862
201608,农、林、牧、渔业,935
201607,农、林、牧、渔业,887
201606,农、林、牧、渔业,1018
201605,农、林、牧、渔业,1008
201604,农、林、牧、渔业,925
201603,农、林、牧、渔业,927
201602,农、林、牧、渔业,370
201601,农、林、牧、渔业,1382
201512,农、林、牧、渔业,2123
201511,农、林、牧、渔业,909
201510,农、林、牧、渔业,613
201509,农、林、牧、渔业,738
201508,农、林、牧、渔业,695
201507,农、林、牧、渔业,899
201506,农、林、牧、渔业,767
201505,农、林、牧、渔业,888
201504,农、林、牧、渔业,952
201503,农、林、牧、渔业,670
201502,农、林、牧、渔业,603
201501,农、林、牧、渔业,938
201412,农、林、牧、渔业,1252
201411,农、林、牧、渔业,895
201410,农、林、牧、渔业,842
201409,农、林、牧、渔业,881
201408,农、林、牧、渔业,837
201407,农、林、牧、渔业,949
201406,农、林、牧、渔业,915
201405,农、林、牧、渔业,934
201404,农、林、牧、渔业,1005
201403,农、林、牧、渔业,792
201402,农、林、牧、渔业,347
201401,农、林、牧、渔业,1193
201312,农、林、牧、渔业,3289
201311,农、林、牧、渔业,1968
201310,农、林、牧、渔业,1920
201309,农、林、牧、渔业,1341
201308,农、林、牧、渔业,990
201307,农、林、牧、渔业,999
201306,农、林、牧、渔业,816
201305,农、林、牧、渔业,666
201304,农、林、牧、渔业,715
201303,农、林、牧、渔业,534
201302,农、林、牧、渔业,205
201301,农、林、牧、渔业,532
201212,农、林、牧、渔业,731
201211,农、林、牧、渔业,1059
201210,农、林、牧、渔业,648
201209,农、林、牧、渔业,777
201208,农、林、牧、渔业,712
201207,农、林、牧、渔业,610
201206,农、林、牧、渔业,560
201205,农、林、牧、渔业,550
201204,农、林、牧、渔业,450
201203,农、林、牧、渔业,585
201202,农、林、牧、渔业,326
201201,农、林、牧、渔业,321
201112,农、林、牧、渔业,732
201111,农、林、牧、渔业,659
201110,农、林、牧、渔业,439
201109,农、林、牧、渔业,473
201108,农、林、牧、渔业,640
201107,农、林、牧、渔业,543
201106,农、林、牧、渔业,588
201105,农、林、牧、渔业,477
201104,农、林、牧、渔业,470
201103,农、林、牧、渔业,389
201102,农、林、牧、渔业,77
201101,农、林、牧、渔业,307
201012,农、林、牧、渔业,435
201011,农、林、牧、渔业,352
201010,农、林、牧、渔业,233
201009,农、林、牧、渔业,322
201008,农、林、牧、渔业,408
201007,农、林、牧、渔业,444
201006,农、林、牧、渔业,446
201005,农、林、牧、渔业,397
201004,农、林、牧、渔业,476
201003,农、林、牧、渔业,301
201002,农、林、牧、渔业,134
201001,农、林、牧、渔业,291
201709,批发和零售业,6805
201708,批发和零售业,31435
201707,批发和零售业,30362
201706,批发和零售业,36719
201705,批发和零售业,36364
201704,批发和零售业,33706
201703,批发和零售业,37033
201702,批发和零售业,15312
201701,批发和零售业,18029
201612,批发和零售业,30779
201611,批发和零售业,27387
201610,批发和零售业,21295
201609,批发和零售业,30769
201608,批发和零售业,29841
201607,批发和零售业,28273
201606,批发和零售业,32408
201605,批发和零售业,33465
201604,批发和零售业,33837
201603,批发和零售业,34401
201602,批发和零售业,9921
201601,批发和零售业,21520
201512,批发和零售业,25955
201511,批发和零售业,22184
201510,批发和零售业,17178
201509,批发和零售业,21539
201508,批发和零售业,20009
201507,批发和零售业,24410
201506,批发和零售业,21468
201505,批发和零售业,23427
201504,批发和零售业,25905
201503,批发和零售业,17053
201502,批发和零售业,9969
201501,批发和零售业,18258
201412,批发和零售业,19973
201411,批发和零售业,18265
201410,批发和零售业,14646
201409,批发和零售业,20394
201408,批发和零售业,21933
201407,批发和零售业,23523
201406,批发和零售业,22905
201405,批发和零售业,21335
201404,批发和零售业,21273
201403,批发和零售业,19520
201402,批发和零售业,9905
201401,批发和零售业,15324
201312,批发和零售业,17200
201311,批发和零售业,16547
201310,批发和零售业,15130
201309,批发和零售业,15577
201308,批发和零售业,14614
201307,批发和零售业,15084
201306,批发和零售业,13277
201305,批发和零售业,15074
201304,批发和零售业,16000
201303,批发和零售业,14180
201302,批发和零售业,3291
201301,批发和零售业,9979
201212,批发和零售业,7965
201211,批发和零售业,9228
201210,批发和零售业,7252
201209,批发和零售业,9092
201208,批发和零售业,9916
201207,批发和零售业,10023
201206,批发和零售业,9843
201205,批发和零售业,10992
201204,批发和零售业,9363
201203,批发和零售业,11278
201202,批发和零售业,6521
201201,批发和零售业,4566
201112,批发和零售业,8511
201111,批发和零售业,8782
201110,批发和零售业,7001
201109,批发和零售业,9088
201108,批发和零售业,10819
201107,批发和零售业,10280
201106,批发和零售业,11102
201105,批发和零售业,9420
201104,批发和零售业,9241
201103,批发和零售业,7662
201102,批发和零售业,2204
201101,批发和零售业,6366
201012,批发和零售业,6488
201011,批发和零售业,6370
201010,批发和零售业,4414
201009,批发和零售业,6275
201008,批发和零售业,6213
201007,批发和零售业,6402
201006,批发和零售业,6186
201005,批发和零售业,6196
201004,批发和零售业,6055
201003,批发和零售业,4950
201002,批发和零售业,2629
201001,批发和零售业,4762
201709,水利、环境和公共设施管理业,61
201708,水利、环境和公共设施管理业,189
201707,水利、环境和公共设施管理业,196
201706,水利、环境和公共设施管理业,225
201705,水利、环境和公共设施管理业,212
201704,水利、环境和公共设施管理业,216
201703,水利、环境和公共设施管理业,259
201702,水利、环境和公共设施管理业,111
201701,水利、环境和公共设施管理业,153
201612,水利、环境和公共设施管理业,200
201611,水利、环境和公共设施管理业,193
201610,水利、环境和公共设施管理业,140
201609,水利、环境和公共设施管理业,153
201608,水利、环境和公共设施管理业,160
201607,水利、环境和公共设施管理业,158
201606,水利、环境和公共设施管理业,166
201605,水利、环境和公共设施管理业,171
201604,水利、环境和公共设施管理业,168
201603,水利、环境和公共设施管理业,169
201602,水利、环境和公共设施管理业,59
201601,水利、环境和公共设施管理业,110
201512,水利、环境和公共设施管理业,178
201511,水利、环境和公共设施管理业,127
201510,水利、环境和公共设施管理业,87
201509,水利、环境和公共设施管理业,98
201508,水利、环境和公共设施管理业,114
201507,水利、环境和公共设施管理业,117
201506,水利、环境和公共设施管理业,127
201505,水利、环境和公共设施管理业,138
201504,水利、环境和公共设施管理业,134
201503,水利、环境和公共设施管理业,88
201502,水利、环境和公共设施管理业,53
201501,水利、环境和公共设施管理业,106
201412,水利、环境和公共设施管理业,109
201411,水利、环境和公共设施管理业,130
201410,水利、环境和公共设施管理业,86
201409,水利、环境和公共设施管理业,107
201408,水利、环境和公共设施管理业,101
201407,水利、环境和公共设施管理业,97
201406,水利、环境和公共设施管理业,116
201405,水利、环境和公共设施管理业,114
201404,水利、环境和公共设施管理业,120
201403,水利、环境和公共设施管理业,116
201402,水利、环境和公共设施管理业,54
201401,水利、环境和公共设施管理业,84
201312,水利、环境和公共设施管理业,94
201311,水利、环境和公共设施管理业,78
201310,水利、环境和公共设施管理业,74
201309,水利、环境和公共设施管理业,64
201308,水利、环境和公共设施管理业,106
201307,水利、环境和公共设施管理业,76
201306,水利、环境和公共设施管理业,85
201305,水利、环境和公共设施管理业,72
201304,水利、环境和公共设施管理业,89
201303,水利、环境和公共设施管理业,62
201302,水利、环境和公共设施管理业,34
201301,水利、环境和公共设施管理业,76
201212,水利、环境和公共设施管理业,59
201211,水利、环境和公共设施管理业,54
201210,水利、环境和公共设施管理业,47
201209,水利、环境和公共设施管理业,51
201208,水利、环境和公共设施管理业,71
201207,水利、环境和公共设施管理业,56
201206,水利、环境和公共设施管理业,58
201205,水利、环境和公共设施管理业,55
201204,水利、环境和公共设施管理业,46
201203,水利、环境和公共设施管理业,65
201202,水利、环境和公共设施管理业,45
201201,水利、环境和公共设施管理业,29
201112,水利、环境和公共设施管理业,50
201111,水利、环境和公共设施管理业,57
201110,水利、环境和公共设施管理业,42
201109,水利、环境和公共设施管理业,38
201108,水利、环境和公共设施管理业,62
201107,水利、环境和公共设施管理业,49
201106,水利、环境和公共设施管理业,55
201105,水利、环境和公共设施管理业,46
201104,水利、环境和公共设施管理业,63
201103,水利、环境和公共设施管理业,79
201102,水利、环境和公共设施管理业,10
201101,水利、环境和公共设施管理业,44
201012,水利、环境和公共设施管理业,43
201011,水利、环境和公共设施管理业,63
201010,水利、环境和公共设施管理业,26
201009,水利、环境和公共设施管理业,41
201008,水利、环境和公共设施管理业,42
201007,水利、环境和公共设施管理业,50
201006,水利、环境和公共设施管理业,62
201005,水利、环境和公共设施管理业,50
201004,水利、环境和公共设施管理业,51
201003,水利、环境和公共设施管理业,57
201002,水利、环境和公共设施管理业,33
201001,水利、环境和公共设施管理业,37
201709,卫生和社会工作,65
201708,卫生和社会工作,385
201707,卫生和社会工作,206
201706,卫生和社会工作,195
201705,卫生和社会工作,218
201704,卫生和社会工作,202
201703,卫生和社会工作,187
201702,卫生和社会工作,88
201701,卫生和社会工作,127
201612,卫生和社会工作,154
201611,卫生和社会工作,161
201610,卫生和社会工作,135
201609,卫生和社会工作,158
201608,卫生和社会工作,180
201607,卫生和社会工作,138
201606,卫生和社会工作,167
201605,卫生和社会工作,156
201604,卫生和社会工作,144
201603,卫生和社会工作,150
201602,卫生和社会工作,90
201601,卫生和社会工作,152
201512,卫生和社会工作,185
201511,卫生和社会工作,132
201510,卫生和社会工作,87
201509,卫生和社会工作,95
201508,卫生和社会工作,82
201507,卫生和社会工作,91
201506,卫生和社会工作,66
201505,卫生和社会工作,73
201504,卫生和社会工作,56
201503,卫生和社会工作,41
201502,卫生和社会工作,30
201501,卫生和社会工作,53
201412,卫生和社会工作,40
201411,卫生和社会工作,39
201410,卫生和社会工作,35
201409,卫生和社会工作,44
201408,卫生和社会工作,34
201407,卫生和社会工作,43
201406,卫生和社会工作,42
201405,卫生和社会工作,32
201404,卫生和社会工作,27
201403,卫生和社会工作,41
201402,卫生和社会工作,16
201401,卫生和社会工作,35
201312,卫生和社会工作,27
201311,卫生和社会工作,30
201310,卫生和社会工作,31
201309,卫生和社会工作,38
201308,卫生和社会工作,20
201307,卫生和社会工作,23
201306,卫生和社会工作,17
201305,卫生和社会工作,24
201304,卫生和社会工作,18
201303,卫生和社会工作,21
201302,卫生和社会工作,4
201301,卫生和社会工作,13
201212,卫生和社会工作,14
201211,卫生和社会工作,11
201210,卫生和社会工作,16
201209,卫生和社会工作,13
201208,卫生和社会工作,10
201207,卫生和社会工作,16
201206,卫生和社会工作,13
201205,卫生和社会工作,14
201204,卫生和社会工作,13
201203,卫生和社会工作,20
201202,卫生和社会工作,8
201201,卫生和社会工作,4
201112,卫生和社会工作,17
201111,卫生和社会工作,18
201110,卫生和社会工作,19
201109,卫生和社会工作,18
201108,卫生和社会工作,15
201107,卫生和社会工作,17
201106,卫生和社会工作,20
201105,卫生和社会工作,14
201104,卫生和社会工作,9
201103,卫生和社会工作,17
201102,卫生和社会工作,7
201101,卫生和社会工作,13
201012,卫生和社会工作,7
201011,卫生和社会工作,6
201010,卫生和社会工作,5
201009,卫生和社会工作,12
201008,卫生和社会工作,8
201007,卫生和社会工作,6
201006,卫生和社会工作,6
201005,卫生和社会工作,6
201004,卫生和社会工作,10
201003,卫生和社会工作,3
201002,卫生和社会工作,5
201001,卫生和社会工作,9
201709,文化、体育和娱乐业,405
201708,文化、体育和娱乐业,1944
201707,文化、体育和娱乐业,1884
201706,文化、体育和娱乐业,2249
201705,文化、体育和娱乐业,2130
201704,文化、体育和娱乐业,2050
201703,文化、体育和娱乐业,2400
201702,文化、体育和娱乐业,1132
201701,文化、体育和娱乐业,1366
201612,文化、体育和娱乐业,1986
201611,文化、体育和娱乐业,1871
201610,文化、体育和娱乐业,1550
201609,文化、体育和娱乐业,2045
201608,文化、体育和娱乐业,2013
201607,文化、体育和娱乐业,1760
201606,文化、体育和娱乐业,1803
201605,文化、体育和娱乐业,1764
201604,文化、体育和娱乐业,1770
201603,文化、体育和娱乐业,1686
201602,文化、体育和娱乐业,678
201601,文化、体育和娱乐业,1270
201512,文化、体育和娱乐业,1501
201511,文化、体育和娱乐业,1308
201510,文化、体育和娱乐业,1044
201509,文化、体育和娱乐业,1287
201508,文化、体育和娱乐业,1250
201507,文化、体育和娱乐业,1342
201506,文化、体育和娱乐业,1115
201505,文化、体育和娱乐业,1087
201504,文化、体育和娱乐业,1133
201503,文化、体育和娱乐业,773
201502,文化、体育和娱乐业,600
201501,文化、体育和娱乐业,876
201412,文化、体育和娱乐业,1042
201411,文化、体育和娱乐业,870
201410,文化、体育和娱乐业,709
201409,文化、体育和娱乐业,879
201408,文化、体育和娱乐业,875
201407,文化、体育和娱乐业,930
201406,文化、体育和娱乐业,908
201405,文化、体育和娱乐业,822
201404,文化、体育和娱乐业,725
201403,文化、体育和娱乐业,676
201402,文化、体育和娱乐业,361
201401,文化、体育和娱乐业,601
201312,文化、体育和娱乐业,559
201311,文化、体育和娱乐业,557
201310,文化、体育和娱乐业,512
201309,文化、体育和娱乐业,514
201308,文化、体育和娱乐业,594
201307,文化、体育和娱乐业,536
201306,文化、体育和娱乐业,510
201305,文化、体育和娱乐业,463
201304,文化、体育和娱乐业,463
201303,文化、体育和娱乐业,392
201302,文化、体育和娱乐业,158
201301,文化、体育和娱乐业,303
201212,文化、体育和娱乐业,291
201211,文化、体育和娱乐业,293
201210,文化、体育和娱乐业,221
201209,文化、体育和娱乐业,270
201208,文化、体育和娱乐业,332
201207,文化、体育和娱乐业,280
201206,文化、体育和娱乐业,248
201205,文化、体育和娱乐业,246
201204,文化、体育和娱乐业,193
201203,文化、体育和娱乐业,219
201202,文化、体育和娱乐业,129
201201,文化、体育和娱乐业,146
201112,文化、体育和娱乐业,226
201111,文化、体育和娱乐业,202
201110,文化、体育和娱乐业,137
201109,文化、体育和娱乐业,180
201108,文化、体育和娱乐业,185
201107,文化、体育和娱乐业,177
201106,文化、体育和娱乐业,186
201105,文化、体育和娱乐业,183
201104,文化、体育和娱乐业,185
201103,文化、体育和娱乐业,139
201102,文化、体育和娱乐业,48
201101,文化、体育和娱乐业,154
201012,文化、体育和娱乐业,147
201011,文化、体育和娱乐业,129
201010,文化、体育和娱乐业,90
201009,文化、体育和娱乐业,137
201008,文化、体育和娱乐业,112
201007,文化、体育和娱乐业,146
201006,文化、体育和娱乐业,138
201005,文化、体育和娱乐业,101
201004,文化、体育和娱乐业,131
201003,文化、体育和娱乐业,112
201002,文化、体育和娱乐业,93
201001,文化、体育和娱乐业,112
201709,信息传输、软件和信息技术服务业,1069
201708,信息传输、软件和信息技术服务业,5444
201707,信息传输、软件和信息技术服务业,5230
201706,信息传输、软件和信息技术服务业,6170
201705,信息传输、软件和信息技术服务业,6017
201704,信息传输、软件和信息技术服务业,6078
201703,信息传输、软件和信息技术服务业,6298
201702,信息传输、软件和信息技术服务业,2924
201701,信息传输、软件和信息技术服务业,3091
201612,信息传输、软件和信息技术服务业,5162
201611,信息传输、软件和信息技术服务业,4342
201610,信息传输、软件和信息技术服务业,3168
201609,信息传输、软件和信息技术服务业,4545
201608,信息传输、软件和信息技术服务业,4327
201607,信息传输、软件和信息技术服务业,3937
201606,信息传输、软件和信息技术服务业,3730
201605,信息传输、软件和信息技术服务业,3721
201604,信息传输、软件和信息技术服务业,3708
201603,信息传输、软件和信息技术服务业,4026
201602,信息传输、软件和信息技术服务业,1671
201601,信息传输、软件和信息技术服务业,2965
201512,信息传输、软件和信息技术服务业,3786
201511,信息传输、软件和信息技术服务业,3158
201510,信息传输、软件和信息技术服务业,2460
201509,信息传输、软件和信息技术服务业,3280
201508,信息传输、软件和信息技术服务业,3282
201507,信息传输、软件和信息技术服务业,3772
201506,信息传输、软件和信息技术服务业,3048
201505,信息传输、软件和信息技术服务业,2896
201504,信息传输、软件和信息技术服务业,2983
201503,信息传输、软件和信息技术服务业,2358
201502,信息传输、软件和信息技术服务业,1569
201501,信息传输、软件和信息技术服务业,2455
201412,信息传输、软件和信息技术服务业,2861
201411,信息传输、软件和信息技术服务业,2410
201410,信息传输、软件和信息技术服务业,1856
201409,信息传输、软件和信息技术服务业,2427
201408,信息传输、软件和信息技术服务业,2346
201407,信息传输、软件和信息技术服务业,2506
201406,信息传输、软件和信息技术服务业,2247
201405,信息传输、软件和信息技术服务业,1977
201404,信息传输、软件和信息技术服务业,1871
201403,信息传输、软件和信息技术服务业,1777
201402,信息传输、软件和信息技术服务业,1020
201401,信息传输、软件和信息技术服务业,1338
201312,信息传输、软件和信息技术服务业,1462
201311,信息传输、软件和信息技术服务业,1418
201310,信息传输、软件和信息技术服务业,1265
201309,信息传输、软件和信息技术服务业,1458
201308,信息传输、软件和信息技术服务业,1340
201307,信息传输、软件和信息技术服务业,1235
201306,信息传输、软件和信息技术服务业,1074
201305,信息传输、软件和信息技术服务业,934
201304,信息传输、软件和信息技术服务业,859
201303,信息传输、软件和信息技术服务业,824
201302,信息传输、软件和信息技术服务业,224
201301,信息传输、软件和信息技术服务业,574
201212,信息传输、软件和信息技术服务业,451
201211,信息传输、软件和信息技术服务业,527
201210,信息传输、软件和信息技术服务业,368
201209,信息传输、软件和信息技术服务业,474
201208,信息传输、软件和信息技术服务业,489
201207,信息传输、软件和信息技术服务业,534
201206,信息传输、软件和信息技术服务业,555
201205,信息传输、软件和信息技术服务业,547
201204,信息传输、软件和信息技术服务业,490
201203,信息传输、软件和信息技术服务业,621
201202,信息传输、软件和信息技术服务业,334
201201,信息传输、软件和信息技术服务业,285
201112,信息传输、软件和信息技术服务业,452
201111,信息传输、软件和信息技术服务业,476
201110,信息传输、软件和信息技术服务业,361
201109,信息传输、软件和信息技术服务业,475
201108,信息传输、软件和信息技术服务业,517
201107,信息传输、软件和信息技术服务业,476
201106,信息传输、软件和信息技术服务业,544
201105,信息传输、软件和信息技术服务业,540
201104,信息传输、软件和信息技术服务业,505
201103,信息传输、软件和信息技术服务业,680
201102,信息传输、软件和信息技术服务业,183
201101,信息传输、软件和信息技术服务业,492
201012,信息传输、软件和信息技术服务业,508
201011,信息传输、软件和信息技术服务业,518
201010,信息传输、软件和信息技术服务业,330
201009,信息传输、软件和信息技术服务业,452
201008,信息传输、软件和信息技术服务业,480
201007,信息传输、软件和信息技术服务业,511
201006,信息传输、软件和信息技术服务业,475
201005,信息传输、软件和信息技术服务业,478
201004,信息传输、软件和信息技术服务业,548
201003,信息传输、软件和信息技术服务业,509
201002,信息传输、软件和信息技术服务业,274
201001,信息传输、软件和信息技术服务业,460
201709,制造业,3059
201708,制造业,8850
201707,制造业,8873
201706,制造业,9580
201705,制造业,9422
201704,制造业,9379
201703,制造业,11118
201702,制造业,4416
201701,制造业,6042
201612,制造业,8831
201611,制造业,8504
201610,制造业,5911
201609,制造业,7403
201608,制造业,7102
201607,制造业,7176
201606,制造业,7362
201605,制造业,7130
201604,制造业,6822
201603,制造业,6979
201602,制造业,2073
201601,制造业,5031
201512,制造业,5711
201511,制造业,5351
201510,制造业,4302
201509,制造业,5282
201508,制造业,5785
201507,制造业,6622
201506,制造业,5906
201505,制造业,6212
201504,制造业,7007
201503,制造业,4635
201502,制造业,2916
201501,制造业,5199
201412,制造业,6011
201411,制造业,5235
201410,制造业,4567
201409,制造业,5442
201408,制造业,5499
201407,制造业,6665
201406,制造业,6138
201405,制造业,5844
201404,制造业,6439
201403,制造业,5632
201402,制造业,2155
201401,制造业,3765
201312,制造业,4260
201311,制造业,4662
201310,制造业,3886
201309,制造业,4320
201308,制造业,4678
201307,制造业,5121
201306,制造业,4499
201305,制造业,4810
201304,制造业,4995
201303,制造业,4246
201302,制造业,1249
201301,制造业,3721
201212,制造业,3068
201211,制造业,3792
201210,制造业,2806
201209,制造业,3867
201208,制造业,4303
201207,制造业,4557
201206,制造业,4563
201205,制造业,4990
201204,制造业,4083
201203,制造业,4718
201202,制造业,2639
201201,制造业,2070
201112,制造业,3427
201111,制造业,3572
201110,制造业,2883
201109,制造业,3642
201108,制造业,4593
201107,制造业,4198
201106,制造业,4797
201105,制造业,4453
201104,制造业,4258
201103,制造业,4482
201102,制造业,1169
201101,制造业,3718
201012,制造业,3649
201011,制造业,4024
201010,制造业,2698
201009,制造业,3847
201008,制造业,3894
201007,制造业,4073
201006,制造业,4004
201005,制造业,3526
201004,制造业,3793
201003,制造业,3361
201002,制造业,1600
201001,制造业,3300
201709,住宿和餐饮业,480
201708,住宿和餐饮业,1597
201707,住宿和餐饮业,1653
201706,住宿和餐饮业,1869
201705,住宿和餐饮业,1794
201704,住宿和餐饮业,1639
201703,住宿和餐饮业,1788
201702,住宿和餐饮业,795
201701,住宿和餐饮业,1003
201612,住宿和餐饮业,1618
201611,住宿和餐饮业,1909
201610,住宿和餐饮业,1523
201609,住宿和餐饮业,1869
201608,住宿和餐饮业,2038
201607,住宿和餐饮业,2101
201606,住宿和餐饮业,1801
201605,住宿和餐饮业,1695
201604,住宿和餐饮业,1484
201603,住宿和餐饮业,1480
201602,住宿和餐饮业,408
201601,住宿和餐饮业,1118
201512,住宿和餐饮业,1333
201511,住宿和餐饮业,1307
201510,住宿和餐饮业,962
201509,住宿和餐饮业,1324
201508,住宿和餐饮业,1118
201507,住宿和餐饮业,1161
201506,住宿和餐饮业,918
201505,住宿和餐饮业,837
201504,住宿和餐饮业,963
201503,住宿和餐饮业,578
201502,住宿和餐饮业,452
201501,住宿和餐饮业,758
201412,住宿和餐饮业,993
201411,住宿和餐饮业,818
201410,住宿和餐饮业,678
201409,住宿和餐饮业,917
201408,住宿和餐饮业,871
201407,住宿和餐饮业,896
201406,住宿和餐饮业,790
201405,住宿和餐饮业,637
201404,住宿和餐饮业,571
201403,住宿和餐饮业,515
201402,住宿和餐饮业,276
201401,住宿和餐饮业,720
201312,住宿和餐饮业,621
201311,住宿和餐饮业,596
201310,住宿和餐饮业,493
201309,住宿和餐饮业,558
201308,住宿和餐饮业,492
201307,住宿和餐饮业,503
201306,住宿和餐饮业,468
201305,住宿和餐饮业,490
201304,住宿和餐饮业,488
201303,住宿和餐饮业,430
201302,住宿和餐饮业,219
201301,住宿和餐饮业,562
201212,住宿和餐饮业,493
201211,住宿和餐饮业,449
201210,住宿和餐饮业,347
201209,住宿和餐饮业,460
201208,住宿和餐饮业,461
201207,住宿和餐饮业,402
201206,住宿和餐饮业,412
201205,住宿和餐饮业,415
201204,住宿和餐饮业,326
201203,住宿和餐饮业,346
201202,住宿和餐饮业,213
201201,住宿和餐饮业,255
201112,住宿和餐饮业,409
201111,住宿和餐饮业,284
201110,住宿和餐饮业,217
201109,住宿和餐饮业,356
201108,住宿和餐饮业,357
201107,住宿和餐饮业,321
201106,住宿和餐饮业,390
201105,住宿和餐饮业,266
201104,住宿和餐饮业,280
201103,住宿和餐饮业,233
201102,住宿和餐饮业,86
201101,住宿和餐饮业,322
201012,住宿和餐饮业,372
201011,住宿和餐饮业,301
201010,住宿和餐饮业,178
201009,住宿和餐饮业,257
201008,住宿和餐饮业,221
201007,住宿和餐饮业,237
201006,住宿和餐饮业,300
201005,住宿和餐饮业,198
201004,住宿和餐饮业,194
201003,住宿和餐饮业,168
201002,住宿和餐饮业,155
201001,住宿和餐饮业,241
201709,租赁和商业服务业,2827
201708,租赁和商业服务业,11072
201707,租赁和商业服务业,10459
201706,租赁和商业服务业,11430
201705,租赁和商业服务业,10844
201704,租赁和商业服务业,9886
201703,租赁和商业服务业,12025
201702,租赁和商业服务业,5715
201701,租赁和商业服务业,7615
201612,租赁和商业服务业,10829
201611,租赁和商业服务业,9462
201610,租赁和商业服务业,7471
201609,租赁和商业服务业,10185
201608,租赁和商业服务业,9912
201607,租赁和商业服务业,9439
201606,租赁和商业服务业,10246
201605,租赁和商业服务业,9535
201604,租赁和商业服务业,11729
201603,租赁和商业服务业,11482
201602,租赁和商业服务业,5344
201601,租赁和商业服务业,9320
201512,租赁和商业服务业,10464
201511,租赁和商业服务业,8970
201510,租赁和商业服务业,6678
201509,租赁和商业服务业,8679
201508,租赁和商业服务业,8904
201507,租赁和商业服务业,9283
201506,租赁和商业服务业,7935
201505,租赁和商业服务业,7395
201504,租赁和商业服务业,7691
201503,租赁和商业服务业,5995
201502,租赁和商业服务业,3966
201501,租赁和商业服务业,6756
201412,租赁和商业服务业,7122
201411,租赁和商业服务业,5431
201410,租赁和商业服务业,4751
201409,租赁和商业服务业,5841
201408,租赁和商业服务业,6044
201407,租赁和商业服务业,6811
201406,租赁和商业服务业,6224
201405,租赁和商业服务业,6302
201404,租赁和商业服务业,6239
201403,租赁和商业服务业,5829
201402,租赁和商业服务业,2853
201401,租赁和商业服务业,4874
201312,租赁和商业服务业,4928
201311,租赁和商业服务业,4965
201310,租赁和商业服务业,4386
201309,租赁和商业服务业,4873
201308,租赁和商业服务业,4467
201307,租赁和商业服务业,4067
201306,租赁和商业服务业,3722
201305,租赁和商业服务业,4407
201304,租赁和商业服务业,4638
201303,租赁和商业服务业,4239
201302,租赁和商业服务业,1211
201301,租赁和商业服务业,3414
201212,租赁和商业服务业,2891
201211,租赁和商业服务业,3213
201210,租赁和商业服务业,2231
201209,租赁和商业服务业,2863
201208,租赁和商业服务业,3163
201207,租赁和商业服务业,3090
201206,租赁和商业服务业,2927
201205,租赁和商业服务业,3104
201204,租赁和商业服务业,2804
201203,租赁和商业服务业,3427
201202,租赁和商业服务业,2056
201201,租赁和商业服务业,1640
201112,租赁和商业服务业,2759
201111,租赁和商业服务业,2865
201110,租赁和商业服务业,2133
201109,租赁和商业服务业,2658
201108,租赁和商业服务业,2808
201107,租赁和商业服务业,2721
201106,租赁和商业服务业,2893
201105,租赁和商业服务业,2868
201104,租赁和商业服务业,2780
201103,租赁和商业服务业,2950
201102,租赁和商业服务业,1007
201101,租赁和商业服务业,2519
201012,租赁和商业服务业,2464
201011,租赁和商业服务业,2390
201010,租赁和商业服务业,1716
201009,租赁和商业服务业,2321
201008,租赁和商业服务业,2268
201007,租赁和商业服务业,2274
201006,租赁和商业服务业,2226
201005,租赁和商业服务业,2065
201004,租赁和商业服务业,2473
201003,租赁和商业服务业,2029
201002,租赁和商业服务业,1172
201001,租赁和商业服务业,1946
201709,其他,
201708,其他,
201707,其他,
201706,其他,
201705,其他,
201704,其他,
201703,其他,
201702,其他,
201701,其他,
201612,其他,
201611,其他,
201610,其他,
201609,其他,
201608,其他,
201607,其他,
201606,其他,
201605,其他,
201604,其他,
201603,其他,
201602,其他,
201601,其他,
201512,其他,
201511,其他,
201510,其他,
201509,其他,
